----- final Settings MC -----
dv(MC-potential)= 0.0490933214121
dw(MC-logD)= 0.0484495478227
dwrad(MC-logDrad)= 0.5
temp= 1.0
n(MC)= 5000
n(update)= 1000.0
k= -1
--------------------
===== final v_coeff =====
       0   0.00000e+00
       1   1.69861e+00
       2   7.91435e-01
       3  -1.40715e+00
       4  -1.36143e+00
       5   6.82683e-01
       6   1.22630e+00
       7   1.26674e-01
       8  -5.19385e-01
       9  -1.89127e-01
===== final w_coeff =====
       0  -6.19059e-01
       1  -8.74707e-02
       2   1.22480e-01
       3   8.68277e-01
       4   8.58451e-01
       5   1.85510e-01
==========
===== final F D =====
   index  bin-str  bin-end      potential diffusion-coefficient(shifted-by-half-bin)
       0  -26.599  -26.067    7.17668e-01   8.07932e-01
       1  -26.067  -25.535    7.20919e-01   7.82225e-01
       2  -25.535  -25.003    7.25842e-01   7.42708e-01
       3  -25.003  -24.471    7.30070e-01   6.93603e-01
       4  -24.471  -23.939    7.31732e-01   6.39558e-01
       5  -23.939  -23.407    7.30756e-01   5.84902e-01
       6  -23.407  -22.875    7.29667e-01   5.33141e-01
       7  -22.875  -22.343    7.33478e-01   4.86755e-01
       8  -22.343  -21.811    7.48548e-01   4.47243e-01
       9  -21.811  -21.279    7.80618e-01   4.15313e-01
      10  -21.279  -20.747    8.32497e-01   3.91128e-01
      11  -20.747  -20.215    9.02067e-01   3.74527e-01
      12  -20.215  -19.683    9.81243e-01   3.65194e-01
      13  -19.683  -19.151    1.05631e+00   3.62767e-01
      14  -19.151  -18.619    1.10977e+00   3.66878e-01
      15  -18.619  -18.087    1.12333e+00   3.77148e-01
      16  -18.087  -17.555    1.08154e+00   3.93146e-01
      17  -17.555  -17.023    9.75189e-01   4.14322e-01
      18  -17.023  -16.491    8.03619e-01   4.39928e-01
      19  -16.491  -15.959    5.75564e-01   4.68958e-01
      20  -15.959  -15.427    3.08109e-01   5.00121e-01
      21  -15.427  -14.895    2.40590e-02   5.31871e-01
      22  -14.895  -14.363   -2.51753e-01   5.62499e-01
      23  -14.363  -13.831   -4.96450e-01   5.90294e-01
      24  -13.831  -13.299   -6.92557e-01   6.13733e-01
      25  -13.299  -12.767   -8.30260e-01   6.31662e-01
      26  -12.767  -12.235   -9.08121e-01   6.43436e-01
      27  -12.235  -11.703   -9.32223e-01   6.48970e-01
