----- final Settings MC -----
dv(MC-potential)= 0.0425688602285
dw(MC-logD)= 0.0361516649925
dwrad(MC-logDrad)= 0.5
temp= 1.0
n(MC)= 100000
n(update)= 1000.0
k= -1
--------------------
===== final v_coeff =====
       0   0.00000e+00
       1   3.18912e+00
       2   1.92186e+00
       3  -8.72527e-01
       4  -1.50636e+00
       5   2.26277e-01
       6   9.23680e-01
       7   5.90743e-02
       8  -4.44820e-01
       9  -8.18786e-02
===== final w_coeff =====
       0  -5.90115e-01
       1  -1.29425e-02
       2   9.06592e-02
       3   5.82445e-01
       4   4.08685e-01
       5  -1.91878e-01
==========
===== final F D =====
   index  bin-str  bin-end      potential diffusion-coefficient(shifted-by-half-bin)
       0  -26.599  -26.067    1.83541e+00   6.87423e-01
       1  -26.067  -25.535    1.83658e+00   6.79686e-01
       2  -25.535  -25.003    1.83713e+00   6.67215e-01
       3  -25.003  -24.471    1.83409e+00   6.50613e-01
       4  -24.471  -23.939    1.82432e+00   6.30669e-01
       5  -23.939  -23.407    1.80553e+00   6.08299e-01
       6  -23.407  -22.875    1.77717e+00   5.84491e-01
       7  -22.875  -22.343    1.74053e+00   5.60246e-01
       8  -22.343  -21.811    1.69828e+00   5.36522e-01
       9  -21.811  -21.279    1.65333e+00   5.14194e-01
      10  -21.279  -20.747    1.60744e+00   4.94025e-01
      11  -20.747  -20.215    1.55982e+00   4.76651e-01
      12  -20.215  -19.683    1.50638e+00   4.62581e-01
      13  -19.683  -19.151    1.43973e+00   4.52206e-01
      14  -19.151  -18.619    1.35027e+00   4.45808e-01
      15  -18.619  -18.087    1.22796e+00   4.43572e-01
      16  -18.087  -17.555    1.06469e+00   4.45594e-01
      17  -17.555  -17.023    8.56512e-01   4.51872e-01
      18  -17.023  -16.491    6.05313e-01   4.62291e-01
      19  -16.491  -15.959    3.19466e-01   4.76596e-01
      20  -15.959  -15.427    1.32356e-02   4.94355e-01
      21  -15.427  -14.895   -2.94997e-01   5.14924e-01
      22  -14.895  -14.363   -5.85358e-01   5.37423e-01
      23  -14.363  -13.831   -8.39456e-01   5.60739e-01
      24  -13.831  -13.299   -1.04312e+00   5.83566e-01
      25  -13.299  -12.767   -1.18836e+00   6.04500e-01
      26  -12.767  -12.235   -1.27420e+00   6.22167e-01
      27  -12.235  -11.703   -1.30631e+00   6.35387e-01
      28  -11.703  -11.171   -1.29549e+00   6.43330e-01
      29  -11.171  -10.639   -1.25548e+00   6.45633e-01
      30  -10.639  -10.108   -1.20054e+00   6.42453e-01
      31  -10.108   -9.576   -1.14313e+00   6.34429e-01
      32   -9.576   -9.044   -1.09245e+00   6.22588e-01
      33   -9.044   -8.512   -1.05360e+00   6.08189e-01
      34   -8.512   -7.980   -1.02780e+00   5.92567e-01
      35   -7.980   -7.448   -1.01320e+00   5.76989e-01
      36   -7.448   -6.916   -1.00617e+00   5.62549e-01
      37   -6.916   -6.384   -1.00268e+00   5.50104e-01
      38   -6.384   -5.852   -9.99403e-01   5.40247e-01
      39   -5.852   -5.320   -9.94423e-01   5.33311e-01
      40   -5.320   -4.788   -9.87442e-01   5.29380e-01
      41   -4.788   -4.256   -9.79477e-01   5.28312e-01
      42   -4.256   -3.724   -9.72264e-01   5.29765e-01
      43   -3.724   -3.192   -9.67548e-01   5.33222e-01
      44   -3.192   -2.660   -9.66461e-01   5.38030e-01
      45   -2.660   -2.128   -9.69149e-01   5.43442e-01
      46   -2.128   -1.596   -9.74717e-01   5.48689e-01
      47   -1.596   -1.064   -9.81491e-01   5.53048e-01
      48   -1.064   -0.532   -9.87495e-01   5.55924e-01
      49   -0.532   -0.000   -9.90998e-01   5.56929e-01
      50   -0.000    0.532   -9.90998e-01   5.55924e-01
      51    0.532    1.064   -9.87495e-01   5.53048e-01
      52    1.064    1.596   -9.81491e-01   5.48689e-01
      53    1.596    2.128   -9.74717e-01   5.43442e-01
      54    2.128    2.660   -9.69149e-01   5.38030e-01
      55    2.660    3.192   -9.66461e-01   5.33222e-01
      56    3.192    3.724   -9.67548e-01   5.29765e-01
      57    3.724    4.256   -9.72264e-01   5.28312e-01
      58    4.256    4.788   -9.79477e-01   5.29380e-01
      59    4.788    5.320   -9.87442e-01   5.33311e-01
      60    5.320    5.852   -9.94423e-01   5.40247e-01
      61    5.852    6.384   -9.99403e-01   5.50104e-01
      62    6.384    6.916   -1.00268e+00   5.62549e-01
      63    6.916    7.448   -1.00617e+00   5.76989e-01
      64    7.448    7.980   -1.01320e+00   5.92567e-01
      65    7.980    8.512   -1.02780e+00   6.08189e-01
      66    8.512    9.044   -1.05360e+00   6.22588e-01
      67    9.044    9.576   -1.09245e+00   6.34429e-01
      68    9.576   10.108   -1.14313e+00   6.42453e-01
      69   10.108   10.639   -1.20054e+00   6.45633e-01
      70   10.639   11.171   -1.25548e+00   6.43330e-01
      71   11.171   11.703   -1.29549e+00   6.35387e-01
      72   11.703   12.235   -1.30631e+00   6.22167e-01
      73   12.235   12.767   -1.27420e+00   6.04500e-01
      74   12.767   13.299   -1.18836e+00   5.83566e-01
      75   13.299   13.831   -1.04312e+00   5.60739e-01
      76   13.831   14.363   -8.39456e-01   5.37423e-01
      77   14.363   14.895   -5.85358e-01   5.14924e-01
      78   14.895   15.427   -2.94997e-01   4.94355e-01
      79   15.427   15.959    1.32356e-02   4.76596e-01
      80   15.959   16.491    3.19466e-01   4.62291e-01
      81   16.491   17.023    6.05313e-01   4.51872e-01
      82   17.023   17.555    8.56512e-01   4.45594e-01
      83   17.555   18.087    1.06469e+00   4.43572e-01
      84   18.087   18.619    1.22796e+00   4.45808e-01
      85   18.619   19.151    1.35027e+00   4.52206e-01
      86   19.151   19.683    1.43973e+00   4.62581e-01
      87   19.683   20.215    1.50638e+00   4.76651e-01
      88   20.215   20.747    1.55982e+00   4.94025e-01
      89   20.747   21.279    1.60744e+00   5.14194e-01
      90   21.279   21.811    1.65333e+00   5.36522e-01
      91   21.811   22.343    1.69828e+00   5.60246e-01
      92   22.343   22.875    1.74053e+00   5.84491e-01
      93   22.875   23.407    1.77717e+00   6.08299e-01
      94   23.407   23.939    1.80553e+00   6.30669e-01
      95   23.939   24.471    1.82432e+00   6.50613e-01
      96   24.471   25.003    1.83409e+00   6.67215e-01
      97   25.003   25.535    1.83713e+00   6.79686e-01
      98   25.535   26.067    1.83658e+00   6.87423e-01
      99   26.067   26.599    1.83541e+00   6.90046e-01
#Done
