----- final Settings MC -----
dv(MC-potential)= 0.0494579594874
dw(MC-logD)= 0.0491522687591
dwrad(MC-logDrad)= 0.5
temp= 1.0
n(MC)= 2000
n(update)= 1000.0
k= -1
--------------------
===== final v_coeff =====
       0   0.00000e+00
       1   6.48368e-01
       2   6.03097e-01
       3  -5.17845e-01
       4  -6.06905e-01
       5   6.69325e-01
       6   6.12453e-01
       7  -3.67220e-01
       8  -4.94374e-01
       9  -1.87812e-03
===== final w_coeff =====
       0  -6.62793e-01
       1  -1.02544e-01
       2   2.78990e-01
       3   7.65021e-01
       4  -1.62503e-02
       5  -7.53430e-01
==========
===== final F D =====
   index  bin-str  bin-end      potential diffusion-coefficient(shifted-by-half-bin)
       0  -26.599  -26.067    3.73292e-01   5.73265e-01
       1  -26.067  -25.535    3.79871e-01   5.76835e-01
       2  -25.535  -25.003    3.90301e-01   5.81941e-01
       3  -25.003  -24.471    3.99940e-01   5.87378e-01
       4  -24.471  -23.939    4.03638e-01   5.91610e-01
       5  -23.939  -23.407    3.97363e-01   5.92953e-01
       6  -23.407  -22.875    3.79585e-01   5.89827e-01
       7  -22.875  -22.343    3.52041e-01   5.81055e-01
       8  -22.343  -21.811    3.19612e-01   5.66114e-01
       9  -21.811  -21.279    2.89310e-01   5.45291e-01
      10  -21.279  -20.747    2.68568e-01   5.19669e-01
      11  -20.747  -20.215    2.63234e-01   4.90944e-01
      12  -20.215  -19.683    2.75755e-01   4.61136e-01
      13  -19.683  -19.151    3.04031e-01   4.32284e-01
      14  -19.151  -18.619    3.41255e-01   4.06191e-01
      15  -18.619  -18.087    3.76846e-01   3.84296e-01
      16  -18.087  -17.555    3.98351e-01   3.67649e-01
      17  -17.555  -17.023    3.93907e-01   3.56961e-01
      18  -17.023  -16.491    3.54772e-01   3.52698e-01
      19  -16.491  -15.959    2.77358e-01   3.55163e-01
      20  -15.959  -15.427    1.64318e-01   3.64537e-01
      21  -15.427  -14.895    2.44328e-02   3.80867e-01
      22  -14.895  -14.363   -1.28712e-01   4.03993e-01
      23  -14.363  -13.831   -2.78980e-01   4.33412e-01
      24  -13.831  -13.299   -4.10430e-01   4.68116e-01
      25  -13.299  -12.767   -5.09986e-01   5.06443e-01
      26  -12.767  -12.235   -5.69509e-01   5.46033e-01
      27  -12.235  -11.703   -5.86877e-01   5.83943e-01
      28  -11.703  -11.171   -5.65906e-01   6.16974e-01
      29  -11.171  -10.639   -5.15196e-01   6.42178e-01
      30  -10.639  -10.108   -4.46196e-01   6.57417e-01
      31  -10.108   -9.576   -3.70937e-01   6.61797e-01
      32   -9.576   -9.044   -2.99915e-01   6.55831e-01
      33   -9.044   -8.512   -2.40551e-01   6.41277e-01
      34   -8.512   -7.980   -1.96456e-01   6.20723e-01
      35   -7.980   -7.448   -1.67590e-01   5.97070e-01
      36   -7.448   -6.916   -1.51143e-01   5.73066e-01
      37   -6.916   -6.384   -1.42854e-01   5.50993e-01
      38   -6.384   -5.852   -1.38395e-01   5.32524e-01
      39   -5.852   -5.320   -1.34498e-01   5.18706e-01
      40   -5.320   -4.788   -1.29565e-01   5.10028e-01
      41   -4.788   -4.256   -1.23702e-01   5.06491e-01
      42   -4.256   -3.724   -1.18239e-01   5.07689e-01
      43   -3.724   -3.192   -1.14945e-01   5.12851e-01
      44   -3.192   -2.660   -1.15210e-01   5.20890e-01
      45   -2.660   -2.128   -1.19430e-01   5.30468e-01
      46   -2.128   -1.596   -1.26780e-01   5.40097e-01
      47   -1.596   -1.064   -1.35408e-01   5.48299e-01
      48   -1.064   -0.532   -1.42981e-01   5.53801e-01
      49   -0.532   -0.000   -1.47390e-01   5.55738e-01
      50   -0.000    0.532   -1.47390e-01   5.53801e-01
      51    0.532    1.064   -1.42981e-01   5.48299e-01
