----- final Settings MC -----
dv(MC-potential)= 0.0242744171946
dw(MC-logD)= 0.0210694264321
dwrad(MC-logDrad)= 0.5
temp= 1.0
n(MC)= 100000
n(update)= 1000.0
k= -1
--------------------
===== final v_coeff =====
       0   0.00000e+00
       1   1.82315e+00
       2   1.03469e+00
       3  -8.69945e-01
       4  -1.04772e+00
       5   4.44022e-01
       6   7.52066e-01
       7  -1.69000e-01
       8  -4.28249e-01
       9  -3.17685e-02
===== final w_coeff =====
       0  -6.49680e-01
       1  -8.79934e-02
       2   1.72471e-01
       3   5.49542e-01
       4  -8.35863e-02
       5  -6.77107e-01
==========
===== final F D =====
   index  bin-str  bin-end      potential diffusion-coefficient(shifted-by-half-bin)
       0  -26.599  -26.067    9.39803e-01   5.35197e-01
       1  -26.067  -25.535    9.45810e-01   5.40179e-01
       2  -25.535  -25.003    9.55751e-01   5.47735e-01
       3  -25.003  -24.471    9.66109e-01   5.56774e-01
       4  -24.471  -23.939    9.73001e-01   5.65851e-01
       5  -23.939  -23.407    9.73386e-01   5.73293e-01
       6  -23.407  -22.875    9.66038e-01   5.77405e-01
       7  -22.875  -22.343    9.51971e-01   5.76727e-01
       8  -22.343  -21.811    9.34167e-01   5.70305e-01
       9  -21.811  -21.279    9.16619e-01   5.57894e-01
      10  -21.279  -20.747    9.02921e-01   5.40035e-01
      11  -20.747  -20.215    8.94774e-01   5.17974e-01
      12  -20.215  -19.683    8.90816e-01   4.93443e-01
      13  -19.683  -19.151    8.86135e-01   4.68381e-01
      14  -19.151  -18.619    8.72680e-01   4.44661e-01
      15  -18.619  -18.087    8.40544e-01   4.23903e-01
      16  -18.087  -17.555    7.79904e-01   4.07380e-01
      17  -17.555  -17.023    6.83212e-01   3.96019e-01
      18  -17.023  -16.491    5.47156e-01   3.90443e-01
      19  -16.491  -15.959    3.73935e-01   3.91038e-01
      20  -15.959  -15.427    1.71525e-01   3.97988e-01
      21  -15.427  -14.895   -4.71541e-02   4.11282e-01
      22  -14.895  -14.363   -2.66045e-01   4.30661e-01
      23  -14.363  -13.831   -4.68392e-01   4.55533e-01
      24  -13.831  -13.299   -6.39333e-01   4.84864e-01
      25  -13.299  -12.767   -7.68131e-01   5.17094e-01
      26  -12.767  -12.235   -8.49643e-01   5.50135e-01
      27  -12.235  -11.703   -8.84748e-01   5.81490e-01
      28  -11.703  -11.171   -8.79734e-01   6.08535e-01
      29  -11.171  -10.639   -8.44785e-01   6.28913e-01
      30  -10.639  -10.108   -7.91960e-01   6.40950e-01
      31  -10.108   -9.576   -7.33059e-01   6.43977e-01
      32   -9.576   -9.044   -6.77808e-01   6.38442e-01
      33   -9.044   -8.512   -6.32685e-01   6.25783e-01
      34   -8.512   -7.980   -6.00523e-01   6.08111e-01
      35   -7.980   -7.448   -5.80876e-01   5.87814e-01
      36   -7.448   -6.916   -5.70962e-01   5.67190e-01
      37   -6.916   -6.384   -5.66894e-01   5.48188e-01
      38   -6.384   -5.852   -5.64895e-01   5.32269e-01
      39   -5.852   -5.320   -5.62212e-01   5.20382e-01
      40   -5.320   -4.788   -5.57588e-01   5.12986e-01
      41   -4.788   -4.256   -5.51229e-01   5.10111e-01
      42   -4.256   -3.724   -5.44382e-01   5.11406e-01
      43   -3.724   -3.192   -5.38674e-01   5.16189e-01
      44   -3.192   -2.660   -5.35452e-01   5.23486e-01
      45   -2.660   -2.128   -5.35296e-01   5.32102e-01
      46   -2.128   -1.596   -5.37830e-01   5.40716e-01
      47   -1.596   -1.064   -5.41873e-01   5.48025e-01
      48   -1.064   -0.532   -5.45838e-01   5.52916e-01
      49   -0.532   -0.000   -5.48258e-01   5.54636e-01
      50   -0.000    0.532   -5.48258e-01   5.52916e-01
      51    0.532    1.064   -5.45838e-01   5.48025e-01
      52    1.064    1.596   -5.41873e-01   5.40716e-01
      53    1.596    2.128   -5.37830e-01   5.32102e-01
      54    2.128    2.660   -5.35296e-01   5.23486e-01
      55    2.660    3.192   -5.35452e-01   5.16189e-01
      56    3.192    3.724   -5.38674e-01   5.11406e-01
      57    3.724    4.256   -5.44382e-01   5.10111e-01
      58    4.256    4.788   -5.51229e-01   5.12986e-01
      59    4.788    5.320   -5.57588e-01   5.20382e-01
      60    5.320    5.852   -5.62212e-01   5.32269e-01
      61    5.852    6.384   -5.64895e-01   5.48188e-01
      62    6.384    6.916   -5.66894e-01   5.67190e-01
      63    6.916    7.448   -5.70962e-01   5.87814e-01
      64    7.448    7.980   -5.80876e-01   6.08111e-01
      65    7.980    8.512   -6.00523e-01   6.25783e-01
      66    8.512    9.044   -6.32685e-01   6.38442e-01
      67    9.044    9.576   -6.77808e-01   6.43977e-01
      68    9.576   10.108   -7.33059e-01   6.40950e-01
      69   10.108   10.639   -7.91960e-01   6.28913e-01
      70   10.639   11.171   -8.44785e-01   6.08535e-01
      71   11.171   11.703   -8.79734e-01   5.81490e-01
      72   11.703   12.235   -8.84748e-01   5.50135e-01
      73   12.235   12.767   -8.49643e-01   5.17094e-01
      74   12.767   13.299   -7.68131e-01   4.84864e-01
      75   13.299   13.831   -6.39333e-01   4.55533e-01
      76   13.831   14.363   -4.68392e-01   4.30661e-01
      77   14.363   14.895   -2.66045e-01   4.11282e-01
      78   14.895   15.427   -4.71541e-02   3.97988e-01
      79   15.427   15.959    1.71525e-01   3.91038e-01
      80   15.959   16.491    3.73935e-01   3.90443e-01
      81   16.491   17.023    5.47156e-01   3.96019e-01
      82   17.023   17.555    6.83212e-01   4.07380e-01
      83   17.555   18.087    7.79904e-01   4.23903e-01
      84   18.087   18.619    8.40544e-01   4.44661e-01
      85   18.619   19.151    8.72680e-01   4.68381e-01
      86   19.151   19.683    8.86135e-01   4.93443e-01
      87   19.683   20.215    8.90816e-01   5.17974e-01
      88   20.215   20.747    8.94774e-01   5.40035e-01
      89   20.747   21.279    9.02921e-01   5.57894e-01
      90   21.279   21.811    9.16619e-01   5.70305e-01
      91   21.811   22.343    9.34167e-01   5.76727e-01
      92   22.343   22.875    9.51971e-01   5.77405e-01
      93   22.875   23.407    9.66038e-01   5.73293e-01
      94   23.407   23.939    9.73386e-01   5.65851e-01
      95   23.939   24.471    9.73001e-01   5.56774e-01
      96   24.471   25.003    9.66109e-01   5.47735e-01
      97   25.003   25.535    9.55751e-01   5.40179e-01
      98   25.535   26.067    9.45810e-01   5.35197e-01
      99   26.067   26.599    9.39803e-01   5.33461e-01
#Done
